Unnamed: 0,stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed
344,3.9,243,22% off,54990,IFB,5,8.5,1400
345,4.2,91,32% off,12490,BOSCH,5,8,1360
346,4.3,79969,25% off,15990,SAMSUNG,5,6.5,700
348,4.2,41167,40% off,11990,ONIDA,5,6.5,700
349,4.3,65,26% off,38990,LG,5,8,1400
350,4.4,70,26% off,12890,SAMSUNG,5,8,1300
351,4.3,86950,27% off,46990,IFB,5,10,1400
352,4.1,524,56% off,8740,FOXSKY,5,9.5,1490
354,4.1,8296,33% off,26690,MOTOROLA,5,6.5,1000
355,4.5,75,17% off,17490,Whirlpool,5,11,1400
356,4.2,13077,44% off,19490,realme TechLife,5,11,700
357,4.4,39827,8% off,9090,SAMSUNG,5,6,1300
358,4.2,5235,31% off,12990,Thomson,5,8.5,840
359,4.4,194,20% off,13000,SAMSUNG,5,7.5,1300
361,4.2,15648,36% off,10150,Sansui,5,8.5,1350
362,4.1,115,48% off,7990,TCL,5,7,1400
363,4.4,2663,43% off,13480,Voltas Beko,5,9,1350
365,4.3,1204,24% off,26500,IFB,5,7,1000
366,3.9,11,28% off,25500,BOSCH,5,8,680
368,4.1,179,20% off,16249,Whirlpool,5,7,740
369,3.9,135,22% off,13237,LG,5,7.5,1300
370,3.8,66,41% off,19990,TCL,5,6.5,1200
371,4.3,86950,16% off,25990,IFB,5,6.5,1000
372,4.3,2851,17% off,14490,Whirlpool,5,8.5,1450
373,3.5,10,25% off,26440,IFB,5,9,720
374,4.3,54410,43% off,9590,MarQ by Flipkart,5,8.5,1350
375,4.3,2758,23% off,18798,Whirlpool,5,6.5,740
377,4.5,4,15% off,21100,SAMSUNG,5,7,700
379,4.4,165,21% off,14800,SAMSUNG,5,8.5,1300
380,4,231,39% off,16990,Godrej,5,7.5,750
382,3.9,27,41% off,11199,Voltas Beko,5,8,1300
