",stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed"
"52,4.4,""39,827 Ratings "",27% off,""â‚¹11,490"",SAMSUNG,5,7.5 Kg,1300 rpm"
"53,4.3,""14,730 Ratings "",35% off,""â‚¹7,690"",Voltas Beko,5,6 kg,1350 rpm"
"54,4.3,""15,074 Ratings "",36% off,""â‚¹34,990"",SAMSUNG,5,9 kg,1400 rpm"
"55,4.1,995 Ratings ,26% off,""â‚¹28,990"",Whirlpool,5,8 kg,1400 RPM"
"56,4.1,""29,772 Ratings "",21% off,""â‚¹22,990"",Whirlpool,5,9 kg,740 rpm"
"57,4.3,""86,950 Ratings "",24% off,""â‚¹27,990"",IFB,5,7 kg,1000 rpm"
"58,4.4,""39,827 Ratings "",22% off,""â‚¹10,990"",SAMSUNG,5,7 kg,1350 rpm"
"59,4.1,""3,208 Ratings "",45% off,""â‚¹17,990"",Godrej,5,8 kg,650 rpm"
"60,4.2,75 Ratings ,33% off,""â‚¹12,250"",Voltas Beko,5,8 kg,1450 RPM"
"61,4.3,""86,950 Ratings "",23% off,""â‚¹35,990"",IFB,5,8 kg,1400 RPM"
"62,4.3,""21,423 Ratings "",26% off,""â‚¹17,590"",IFB,5,7 kg,720 RPM"
"63,4,""1,955 Ratings "",27% off,""â‚¹22,990"",IFB,5,6 kg,1000 RPM"
"64,4.1,""1,255 Ratings "",57% off,""â‚¹24,990"",realme TechLife,5,10 kg,1400 RPM"
"65,3.9,,37% off,""â‚¹24,990"",Godrej,5,10 kg,650 rpm"
"66,4.1,536 Ratings ,41% off,""â‚¹29,990"",Godrej,5,8 kg,1200 RPM"
"67,4.3,""15,074 Ratings "",31% off,""â‚¹39,990"",SAMSUNG,5,9 kg,1400 rpm"
"68,4.2,""28,947 Ratings "",,""â‚¹5,800"",ONIDA,6.5 kg,Normal Pulsator Wash,No"
"69,4.2,""1,008 Ratings "",69% off,""â‚¹6,990"",InnoQ,5,7.5 kg,1500 rpm"
"70,4.4,58 Ratings ,25% off,""â‚¹27,490"",Panasonic,5,7 kg,1400 rpm"
"71,4.1,86 Ratings ,38% off,""â‚¹5,499"",Reliance,7.5 kg,New Triple Wave Pulsator,No"
"72,4.1,""26,828 Ratings "",36% off,""â‚¹12,690"",realme TechLife,5,7.5 kg,700 rpm"
"73,4.2,""76,447 Ratings "",39% off,""â‚¹8,490"",realme TechLife,5,7.5 kg,1400 RPM"
